inputs,outputs
0.27783143324399995,0.2953272783592372
1.9783536722250346,2.1423975287597603
6.7256360105880795,7.434098731092282
14.913030992464364,16.838125236108645
24.91838169394827,28.71893146724932
34.26801635715391,40.23172239672098
41.13925139688479,49.05497822130119
44.9635832667112,54.261155518292334
46.20967962762092,56.21668843974917
45.8304138726865,55.99039266417833
44.76617869690418,54.74353228442972
43.67232084969051,53.350719522233575
42.86605948692264,52.28281628836049
42.40719190955437,51.66951335974795
42.21841991839489,51.43648944969568
42.1843552807238,51.43621959851794
42.20825649135691,51.532924447737074
42.23140023362503,51.63791006498081
42.229681519244984,51.71069237844928
42.20130357252808,51.744444079430366
42.15448511077456,51.74874573244389
42.09906395744834,51.736758906148
42.042400842545895,51.71916705092675
41.98842192152884,51.70295814652107
41.93841760794099,51.69172095944795
41.89234067083573,51.68598971957715
41.84973276404213,51.68418938073414
41.81012522708341,51.68452711666846
41.773287159158826,51.686337452249056
41.74006312012484,51.688971560235
41.71356539059032,51.69012850491126
41.69827539641443,51.68751737640452
41.696612323616776,51.68180163530958
41.70687717046105,51.67593577404526
41.72461237571812,51.672194929656925
41.74511353352171,51.67100249702785
41.76497310752253,51.67172626355818
41.78243265503673,51.67338967263904
41.79706031658272,51.674743994334825
41.80923102676408,51.674409043533146
41.81966004205891,51.67138189458742
41.829095416773846,51.66580388102389
41.83815934838294,51.659492130389786
41.84725803250701,51.65522607751941
41.85654177172778,51.65480332949212
41.865938813949114,51.65768242007791
41.8752713167191,51.661663043717844
41.884708941110034,51.66459236857404
41.896782971589815,51.66488686308814
41.91830104249259,51.66175218088345
41.955214547766936,51.65770064246854
42.00263178302936,51.65920696007121
42.04443586253022,51.67062385212838
42.06528424364107,51.68811817391793
42.061616601423104,51.70189320556899
42.04192610245074,51.7039937701804
42.01889174623815,51.693693274304955
42.00187632694903,51.676600564657605
41.9944509933617,51.660102400391835
41.99568668125728,51.64943519954595
42.00255400200823,51.646065492569164
42.01187093637736,51.648418290655236
42.02131816012174,51.65396061542712
42.02967054828227,51.66050677479839
42.03659806950648,51.6663432161943
42.04231173062549,51.67051995387516
42.04722805078828,51.67311676199794
42.05181482814481,51.67486015972938
42.05653494512332,51.676803899007396
42.061644272771034,51.680091126128154
42.06700920145462,51.68516413911586
42.07227584993012,51.691248841683205
42.07721357363238,51.69697680435745
42.081852999100555,51.70148142390428
42.08640087770776,51.70493084016706
42.09109689514983,51.70812446730295
42.09606641390596,51.71183804804868
42.10119630663473,51.71631227711471
42.10614954773667,51.720566345895314
42.11060826088291,51.722496330768365
42.114577729341434,51.720642117708344
42.11839689894286,51.715833389187026
42.122430423978194,51.710640230573375
42.12680688882076,51.70744904747837
42.13139905975862,51.70717478114982
42.135972553324166,51.70929867379526
42.1406956448313,51.712518069795316
42.14812872193742,51.714476864057545
42.16486712462789,51.712263544270755
42.19626426581328,51.707076295434305
42.23691652513161,51.706623992526566
42.27107971453567,51.71702500124638
42.28497098353136,51.73355862226869
42.27666849956001,51.74408425018376
42.25475539266581,51.74048881435217
42.230556535561355,51.72427483054654
42.212084927903895,51.70323362587707
42.20229103632738,51.68560997165392
42.200035899195825,51.67625031581602
42.20214558567068,51.67549200131256
42.2055532271318,51.68035442441807
42.20855343501938,51.68685923782043
42.21081214714108,51.692153918045854
42.21269092473058,51.695308931234806
42.21459844306269,51.69652617898969
42.216738033544445,51.696258943405915
42.21916893942441,51.69522566156689
42.221896946965444,51.69434190318741
42.22486256456575,51.694135663511574
42.227928507754804,51.69453995184955
42.230970643584016,51.69534516651706
42.23396081067845,51.69650329026078
42.236944548161944,51.69802051635655
42.23995905624734,51.699920624300304
42.242960890499745,51.7022143318876
42.24584869525805,51.704904580867
42.248557996825866,51.70824133678747
42.25106955225392,51.71225281155226
42.253343473914605,51.71557717177973
42.25535304472991,51.7158652495467
42.257174698637456,51.711961870398184
42.2589773950449,51.70515534753619
42.26092710329273,51.69829413143162
42.26309754763682,51.69390296866124
42.26574920594708,51.69240147143741
42.27125092120732,51.6912847231026
42.28589638917499,51.68757064726679
42.314841003407736,51.68364748413321
42.352673546100704,51.688060217568065
42.38404939578931,51.70611095358464
42.39612806686298,51.73180255935824
42.38778610805841,51.75179258500612
42.36734196630311,51.755656587230625
42.344999449580136,51.7423327824788
42.32776247689376,51.71927142491728
